Timestamp,Age Group,Area,No .of stationery shops near by,How do you rate the stationery shops nearby?,Which brands do you prefer?,Which services do you prefer?,Which of these items are not available in your locality?,
2/27/2018 10:11:13,16-20,Western Suburbs,10,4,"Navneet, Camlin","Online services, Lamination and Binding","Party decorations, College ceremonies",
2/27/2018 10:11:57,20-60,Kalyan,4,4,Classmate,Print,College ceremonies,
2/27/2018 10:13:43,20-60,Kalyan,4,4,"Sundaram, Classmate","Home delivery, Lamination and Binding",College ceremonies,
2/27/2018 10:17:00,16-20,Chembur,2,4,"Classmate, Navneet","Color xerox, Print","Party decorations, College ceremonies, Gift wrapping",Option 1
2/27/2018 10:19:08,16-20,Thane,3,3,"Sundaram, Classmate, Navneet, Camlin","Color xerox, Print, Lamination and Binding","Party decorations, Greeting cards, Gift wrapping",Option 1
2/27/2018 10:47:00,16-20,Chembur,4,3,"Sundaram, Classmate",Print,,
2/27/2018 11:09:27,20-60,Chembur,6,5,Classmate,"Color xerox, Print, Home delivery, Lamination and Binding",Greeting cards,
2/27/2018 13:12:17,20-60,Chembur,5,4,"Classmate, Navneet","Home delivery, Online services, Lamination and Binding",College ceremonies,
2/27/2018 14:57:24,16-20,Navi Mumbai,6,3,"Sundaram, Classmate, Navneet, Camlin","Color xerox, Print, Home delivery, Online services, Lamination and Binding","Greeting cards, Files and Folders",Option 1
2/27/2018 15:45:21,20-60,Navi Mumbai,1,4,Classmate,"Color xerox, Print","Party decorations, Greeting cards, Gift wrapping, Files and Folders",
2/27/2018 15:46:46,16-20,Thane,1,4,"Sundaram, Classmate, Navneet","Color xerox, Print, Lamination and Binding",,
2/27/2018 15:53:44,16-20,Chembur,2,4,Classmate,"Home delivery, Online services",,
2/28/2018 7:32:21,20-60,Kalyan,3,3,"Sundaram, Classmate, Navneet, Camlin","Color xerox, Print, Home delivery, Online services, Lamination and Binding",College ceremonies,
2/28/2018 7:33:05,20-60,Kalyan,4,4,"Sundaram, Classmate, Navneet, Camlin","Color xerox, Print, Home delivery, Online services, Lamination and Binding",College ceremonies,
2/28/2018 7:34:42,20-60,Kalyan,4,3,Classmate,"Color xerox, Print, Home delivery, Online services",College ceremonies,
2/28/2018 8:36:06,20-60,Thane,2,3,"Classmate, Navneet","Color xerox, Lamination and Binding",College ceremonies,
2/28/2018 10:03:55,16-20,Thane,5,4,"Sundaram, Classmate, Navneet, Camlin","Color xerox, Print, Home delivery, Online services, Lamination and Binding",,
2/28/2018 10:11:35,16-20,Chembur,7,3,"Sundaram, Classmate, Navneet, Camlin","Color xerox, Print, Home delivery, Lamination and Binding","Party decorations, College ceremonies, Greeting cards, Gift wrapping, Files and Folders",
2/28/2018 11:03:22,20-60,Thane,10,4,"Sundaram, Classmate, Navneet, Camlin","Color xerox, Print, Lamination and Binding",College ceremonies,
2/28/2018 11:16:01,16-20,Western Suburbs,0,1,Others,"Print, Home delivery, Online services",Party decorations,
2/28/2018 12:26:10,20-60,Thane,3,4,"Sundaram, Classmate, Navneet","Color xerox, Print, Home delivery, Online services, Lamination and Binding",College ceremonies,
2/28/2018 12:36:41,16-20,Navi Mumbai,4,5,Others,Online services,,
2/28/2018 12:48:29,20-60,Kalyan,15,4,"Sundaram, Classmate","Color xerox, Print, Lamination and Binding",Greeting cards,
